2018-05-04 03:44:16.579 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dep/choseList],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.DepartmentController.choseList(java.lang.String)
2018-05-04 03:44:16.579 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dep/{folder}/{jspName}]}" onto public java.lang.String com.newaim.core.contoller.ControllerBase.redirectJsp(java.lang.String,java.lang.String)
2018-05-04 03:44:16.580 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/modules/get],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.ResourceController.get(java.lang.String)
2018-05-04 03:44:16.580 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/modules/delete],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.ResourceController.delete(java.lang.String)
2018-05-04 03:44:16.580 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/modules/list],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.ResourceController.list()
2018-05-04 03:44:16.580 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/modules/save],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.ResourceController.save(java.lang.String,com.newaim.purchase.admin.account.entity.Resource)
2018-05-04 03:44:16.581 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/modules/menu],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.ResourceController.leftMenu(java.lang.String)
2018-05-04 03:44:16.581 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/modules/{folder}/{jspName}]}" onto public java.lang.String com.newaim.core.contoller.ControllerBase.redirectJsp(java.lang.String,java.lang.String)
2018-05-04 03:44:16.581 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/roleassign/get],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleAssignController.get(java.lang.String)
2018-05-04 03:44:16.582 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/roleassign/save],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleAssignController.save(java.lang.String,java.lang.String[],java.lang.String,java.lang.String[])
2018-05-04 03:44:16.582 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/roleassign/listuser],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleAssignController.listUser(java.lang.String,java.lang.String)
2018-05-04 03:44:16.582 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/roleassign/listrole],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleAssignController.listRole(java.lang.String,java.lang.String)
2018-05-04 03:44:16.582 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/roleassign/{folder}/{jspName}]}" onto public java.lang.String com.newaim.core.contoller.ControllerBase.redirectJsp(java.lang.String,java.lang.String)
2018-05-04 03:44:16.583 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/role/get],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleController.get(java.lang.String)
2018-05-04 03:44:16.583 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/role/delete],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleController.delete(java.lang.String)
2018-05-04 03:44:16.583 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/role/list],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleController.list(javax.servlet.ServletRequest,java.lang.String,java.lang.String,int,int)
2018-05-04 03:44:16.584 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/role/save],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RoleController.save(java.lang.String,com.newaim.purchase.admin.account.entity.Role)
2018-05-04 03:44:16.584 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/role/{folder}/{jspName}]}" onto public java.lang.String com.newaim.core.contoller.ControllerBase.redirectJsp(java.lang.String,java.lang.String)
2018-05-04 03:44:16.584 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/rolepermission/get],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RolePermissionController.get(java.lang.String)
2018-05-04 03:44:16.585 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/rolepermission/list],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RolePermissionController.list(java.lang.String,java.lang.String)
2018-05-04 03:44:16.585 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/rolepermission/save],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.RolePermissionController.save(java.lang.String,java.lang.String,java.lang.String[])
2018-05-04 03:44:16.585 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/rolepermission/{folder}/{jspName}]}" onto public java.lang.String com.newaim.core.contoller.ControllerBase.redirectJsp(java.lang.String,java.lang.String)
2018-05-04 03:44:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user/get],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.UserController.get(java.lang.String)
2018-05-04 03:44:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user/delete],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.UserController.delete(java.lang.String)
2018-05-04 03:44:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user/list],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.UserController.list(javax.servlet.ServletRequest,java.lang.String,java.lang.String,int,int)
2018-05-04 03:44:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user/save],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.UserController.save(javax.servlet.http.HttpServletRequest,java.lang.String,com.newaim.purchase.admin.account.entity.User)
2018-05-04 03:44:16.587 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user/setting],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.UserController.setting(java.lang.String,com.newaim.purchase.admin.account.entity.User)
2018-05-04 03:44:16.587 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user/listbydepartmentid],methods=[POST]}" onto public com.newaim.core.utils.RestResult com.newaim.purchase.admin.account.controllers.UserController.listByDepartmentId(javax.servlet.ServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int)
